O	439	時	下晝	ē-tàu	兮晝		下午、下晡		下晝/阮/欲/來去/圖書館/讀冊/。	下午我們要去圖書館讀書。	【時】下午。例：下晝阮欲來去圖書館讀冊。Ē-tàu guán beh lâi-khì tôo-su-kuán tha̍k-tsheh. (下午我們要去圖書館讀書。)　	下午	下昏　e-hng, 下晝　e-tàu, 下晡　e-poo	下晝　e-tàu, 下晡　e-poo	下午　hā-ngóo, 下晝　e-tàu, 下晡　e-poo	下晝　e-tàu, 下晡　enn-poo	下晝　e-tàu, 下晡　e-poo	下晝　e-tàu, 下晡　e-poo	下晝　ē-tàu	下晝　ē-tàu	下晡　ē-poo, 下晝　ē-tàu	下晡　ē-poo, 下晝　ē-tàu
O	440	時	下晡	ē-poo	兮晡		下午、下晝	上午、早起、頂晡	下晡/我/欲/招/阿/美/仔/去/𨑨迌/。	下午我要找阿美去玩。	【時】下午。例：下晡我欲招阿美仔去𨑨迌。Ē-poo guá beh tsio A-bí--á khì tshit-thô. (下午我要找阿美去玩。)　	下午	下昏　e-hng, 下晝　e-tàu, 下晡　e-poo	下晝　e-tàu, 下晡　e-poo	下午　hā-ngóo, 下晝　e-tàu, 下晡　e-poo	下晝　e-tàu, 下晡　enn-poo	下晝　e-tàu, 下晡　e-poo	下晝　e-tàu, 下晡　e-poo	下晝　ē-tàu	下晝　ē-tàu	下晡　ē-poo, 下晝　ē-tàu	下晡　ē-poo, 下晝　ē-tàu
O	443	形	大細	tuā-sè/tuā-suè			寸尺		試看/大細/會合/袂/？	試試大小合不合適？	【形】大小。指一般事物的尺寸大小。例：試看大細會合袂？Tshì khuànn tuā-sè ē ha̍h--bē? (試試大小合不合適？)　											
O	444	動	大細心	tuā-sè-sim/tuā-suè-sim			大細目、偏心		做/序大/的/人/對待/囡仔/毋通/大細心/。	做長輩的人對待晚輩不可以偏心。	【動】偏心。指人故意偏袒一方，對某一方存私心。例：做序大的人對待囡仔毋通大細心。Tsò sī-tuā ê lâng tuì-thāi gín-á m̄-thang tuā-sè-sim. (做長輩的人對待晚輩不可以偏心。)　											
O	445	形	大細目	tuā-sè-ba̍k/tuā-suè-ba̍k			大細心		你/看/人/大細目/，/早慢/會/出/代誌/。	你處事不公，遲早會出事。	【形】本義為兩眼一大一小，大小眼。引申為用不公平的角度看待他人。例：你看人大細目，早慢會出代誌。Lí khuànn lâng tuā-sè-ba̍k, tsá-bān ē tshut-tāi-tsì. (你處事不公，遲早會出事。)　											
O	447	名	工場	kang-tiûnn			工廠		遮的/物件/緊/送/去/工場/予//。	這些東西趕快送去工廠給他們。	1.【名】工廠。把原料製成製造品，或把半成品做成成品的製造場所。工廠裡通常有機器和工人。例：遮的物件緊送去工場予。Tsia--ê mi̍h-kiānn kín sàng khì kang-tiûnn hōo--in. (這些東西趕快送去工廠給他們。)　											
O	448	名	大富	tuā-pù					大富/由/天/，/小/富/由/人/。	大富由天安排，命中註定，小富則靠自已努力累積。即勸人不要心存野心，但要勤奮努力。	【名】表示非常富有的狀況。例：大富由天，小富由人。Tuā-pù iû thinn, sió-pù iû jîn. (大富由天安排，命中註定，小富則靠自已努力累積。即勸人不要心存野心，但要勤奮努力。)　											
O	449	形	大寒	tuā-kuânn				大熱	像/這/款/大寒/的/天/，/食/一寡/燒/的/上/好/。	像這麼冷的天氣裡，吃些熱食是最好的了。	【形】極冷，嚴寒。例：像這款大寒的天，食一寡燒的上好。Tshiūnn tsit khuán tuā-kuânn ê thinn, tsia̍h tsi̍t kuá sio--ê siōng-hó. (像這麼冷的天氣裡，吃些熱食是最好的了。)　											
O	451	動	大摒掃	tuā-piànn-sàu			摒掃		禮拜/欲/大摒掃/，/毋通/走/出/去/耍/。	星期日要大掃除，不要跑出去玩。	【動】大掃除。也引申為對工作項目的整理。例：禮拜欲大摒掃，毋通走出去耍。Lé-pài beh tuā-piànn-sàu, m̄-thang tsáu tshut-khì sńg. (星期日要大掃除，不要跑出去玩。)　											
O	452	動	上殕	tshiūnn-phú	上醭、上䀟		生菇		這/塊/餅/已/經/上殕/矣/，/緊/提/去/擲㧒捔/。	這塊餅乾已經發霉了，趕快拿去丟。	【動】發霉。例：這塊餅已經上殕矣，緊提去擲㧒捔。Tsit tè piánn í-king tshiūnn-phú--ah, kín the̍h khì tàn hiat-ka̍k. (這塊餅乾已經發霉了，趕快拿去丟。)　											
O	453	名	下港	ē-káng			下頭、南部	北部、頂港	伊/對/下港/起來/臺北/食頭路/。	他從南部上來臺北工作。	【名】指臺灣南部地方。例：伊對下港起來臺北食頭路。I tuì ē-káng khí-lâi Tâi-pak tsia̍h-thâu-lōo. (他從南部上來臺北工作。)　											
O	454	名	大港	tuā-káng					大港/無/崁蓋/。	大河沒有覆蓋。這句話多用於罵人去跳河自殺算了。	1.【名】大河。例：大港無崁蓋。Tuā-káng bô khàm kuà. (大河沒有覆蓋。這句話多用於罵人去跳河自殺算了。)　											
O	454	形	大港	tuā-káng					水/足/大港/ 	水流量非常大	2.【形】形容風勢或水流量很大。例：水足大港　tsuí tsiok tuā-káng(水流量非常大)、風足大港　hong tsiok tuā-káng(風勢很強)。											
O	455	名	大湧	tuā-íng	大泳				氣象/報告/講/今仔日/有/大湧/，/你/毋通/去/釣/魚/。	氣象報告說今天會有大浪，你別去釣魚。	【名】大波浪。例：氣象報告講今仔日有大湧，你毋通去釣魚。Khì-siōng pò-kò kóng kin-á-ji̍t ū tuā-íng, lí m̄-thang khì tiò-hî. (氣象報告說今天會有大浪，你別去釣魚。)　											
O	456	副	干焦	kan-na	干但、乾焦、干單、干乾				干焦/賰/遮的/菜/爾爾/，/你/欲/無/？	只剩這些菜而已，你要嗎？	【副】只有、僅僅。例：干焦賰遮的菜爾爾，你欲無？Kan-na tshun tsia-ê tshài niā-niā, lí beh--bô? (只剩這些菜而已，你要嗎？)　[近]獨獨[反]毋但											
O	457	形	下痟	hā-siau					一屑仔/代誌/都/辦/袂/好/勢/，/真/下痟/！	一點小事情都辦不好，真沒用！	2.【形】形容其人無用、無能。例：一屑仔代誌都辦袂好勢，真下痟！Tsi̍t-sut-á tāi-tsì to pān bē hó-sè, tsin hā-siau! (一點小事情都辦不好，真沒用！)　											
O	462	名	大筒	tuā-tâng					注/大筒/的/ 	打點滴、靜脈注射	2.【名】靜脈注射、點滴。例：注大筒的　tsù tuā-tâng--ê(打點滴、靜脈注射)。[近]大筒仔、大筒射											
O	463	動	小等	sió-tán			等一下、等咧、較停仔		小等/一/下/！	稍等一下！	【動】等一下、稍等。例：小等一下！Sió-tán--tsi̍t-ē! (稍等一下！)　											
O	467	副	大量	tāi-liōng					大量/生產/才/算會和/。	大量生產才划算。	【副】數量多。例：大量生產才算會和。Tāi-liōng sing-sán tsiah sǹg ē hô. (大量生產才划算。)　											
O	468	動	弓開	king--khui					喙/共/弓開/才會/當/灌/藥仔/。	撐開他的嘴才能夠灌藥。	【動】撐開。用力使東西張開。例：喙共弓開才會當灌藥仔。Tshuì kā king--khui tsiah ē-tàng kuàn io̍h-á. (撐開他的嘴才能夠灌藥。)　											
O	469	副	凡勢	huān-sè	犯勢		無定著		天/遐爾仔/烏/，/等咧/凡勢/會/落雨/。	天那麼黑，等一會兒也許會下雨。	【副】也許、可能。例：天遐爾仔烏，等咧凡勢會落雨。Thinn hiah-nī-á oo, tán--leh huān-sè ē lo̍h-hōo. (天那麼黑，等一會兒也許會下雨。)　											
O	470	名	山勢	suann-sè					咱/蹛/這/角/圍/仔/，/山勢/較/低/。	我們住的這一帶，地勢比較低。	【名】山的形勢。例：咱蹛這角圍仔，山勢較低。Lán tuà tsit kak uî á, suann-sè khah kē. (我們住的這一帶，地勢比較低。)　											
O	471	動	土想	thóo-siūnn					這/款/代誌/曷使/閣/問/，/土想/嘛/知/。	這種事情何必再問，不用想也知道。	【動】指事情不需細想即可知道。例：這款代誌曷使閣問，土想嘛知。Tsit khuán tāi-tsì a̍h-sái koh mn̄g, thóo-siūnn mā tsai. (這種事情何必再問，不用想也知道。)　											
O	472	時	下暗	e-àm	兮暗		下昏暗、暝時		下暗/欲/來/阮/兜/予/阮/請/無/？	今晚要來我們家作客嗎？	【時】晚上、今晚。例：下暗欲來阮兜予阮請無？E-àm beh lâi guán tau hōo guán tshiánn--bô? (今晚要來我們家作客嗎？)　	晚上	下昏暗　ing-àm, 暗時　àm-sî, 暗頭仔　àm-thâu-á	下昏暗　e-hng-àm, 暗時　àm-sî	下昏　e-hng, 下昏暗時　ing-àm-sî, 暗時　àm-sî, 暗頭仔　àm-thâu-á	下昏　e-huinn, 下暗　enn-àm, 暗時　àm-sî, 暗時仔　àm-sî-á, 暗頭仔　àm-thâu-á	下昏　e-hng; i̋ng, 下昏暗　ing-àm, 暗時　àm-sî, 暗時仔　àm-sî-á, 暗頭仔　àm-thâu-á, 暝時　mê--sî	下昏　e-hng, 下暗　e-àm, 暗時　àm-sî, 暗時仔　àm-sî-á, 暗頭仔　àm-thâu-á, 暝時　mê--sî	暗時　àm-sî, 下昏時　ing-sî	暝時　mî-sî, 下昏　ē-hng, 此暝昏　tsiùnn-mî-hng　	暗時　àm-sî, 下昏暗時　ing-àm-sî 	暗時　àm-sî 
O	475	連	才會	tsiah ē					伊/先/共/我/拍/，/我/才會/共/伊/拍/。	他先打我，我才會打他。	【連】用來連結前後因果關係的詞語。例：伊先共我拍，我才會共伊拍。I sing kā guá phah, guá tsiah ē kā i phah. (他先打我，我才會打他。)　											
O	476	名	山溝	suann-kau			山谷、坑溝、山坑		伊/跋/落去/山溝/，/跤骨/摔/斷/去/。	他跌落山谷，腳摔斷了。	【名】山澗、山谷。例：伊跋落去山溝，跤骨摔斷去。I pua̍h lo̍h-khì suann-kau, kha-kut siak tn̄g--khì. (他跌落山谷，腳摔斷了。)　											
O	478	名	下落	hē-lo̍h					下落/不/明/ 	不知去向	【名】去向、去處。例：下落不明　hē-lo̍h put bîng(不知去向)。											
O	479	副	千萬	tshian-bān					你/出門/在/外/，/家己/千萬/愛/小心/。	你出門在外，自己千萬要小心。	1.【副】務必、絕對。有再三叮嚀的意思。例：你出門在外，家己千萬愛小心。Lí tshut-mn̂g tsāi guā, ka-kī tshian-bān ài sió-sim. (你出門在外，自己千萬要小心。)　[近]萬萬											
O	486	位	下跤	ē-kha	下骹、下腳		下底、下面、下頭	頂面、頂頭、頂懸	貓/睏/佇/椅仔/下跤/。	貓在椅子下睡覺。	【位】下面、底下。例：貓睏佇椅仔下跤。Niau khùn tī í-á ē-kha. (貓在椅子下睡覺。)　											
O	487	名	土話	thóo-uē					土人/講/土話/。	粗俗的人講粗俗的話。	1.【名】粗俗不堪的話。例：土人講土話。Thóo-lâng kóng thóo-uē. (粗俗的人講粗俗的話。)　											
O	487	名	土話	thóo-uē					伊/講/的/是//故鄉/的/土話/，/我/聽/攏/無/。	他說的是他故鄉的方言，我都聽不懂。	2.【名】某地的方言。例：伊講的是故鄉的土話，我聽攏無。I kóng--ê sī in kòo-hiong ê thóo-uē, guá thiann lóng bô. (他說的是他故鄉的方言，我都聽不懂。)　											
O	488	名	大話	tuā-uē			膨風		毋通/定/定/講/大話/。	不要常常說大話。	【名】誇口不實的話。例：毋通定定講大話。M̄-thang tiānn-tiānn kóng tuā-uē. (不要常常說大話。)　											
O	490	名	山賊	suann-tsha̍t					較/早/有/真/濟/山賊/佇/遮/出入/。	以前有很多山賊在這裡出沒。	【名】占據山頭建立營寨或出沒山中的盜賊。例：較早有真濟山賊佇遮出入。Khah-tsá ū tsin tsē suann-tsha̍t tī tsia tshut-ji̍p. (以前有很多山賊在這裡出沒。)　											
O	491	名	山跤	suann-kha	山骹、山腳			山尾溜、山頂、山頭	/兜/蹛/佇/山跤/。	他們家住在山腳下。	【名】山腳。山下靠近平地的部分。例：兜蹛佇山跤。In tau tuà tī suann-kha. (他們家住在山腳下。)　											
O	492	名	下跤手人	ē-kha-tshiú-lâng	下跤手儂、下骹手儂、下腳手儂		下司、手下、部下	頂司、頭家	/兜/倩/真/濟/下跤手人/。	他家僱用很多手下。	【名】手下、下屬。從事打雜工作的部屬。例：兜倩真濟下跤手人。In tau tshiànn tsin tsē ē-kha-tshiú-lâng. (他家僱用很多手下。)　											
O	493	名	大跤胴	tuā-kha-tâng	大骹筒、大腳筒		腫跤胴		我/有/一/雙/大跤胴/。	我有一雙蘿蔔腿。	【名】蘿蔔腿。小腿肚粗大的腿形。例：我有一雙大跤胴。Guá ū tsi̍t siang tuā-kha-tâng. (我有一雙蘿蔔腿。)　											
O	495	形	三跤貓	sann-kha-niau	三骹貓、三腳貓		半桶師仔		三跤貓/笑/一/目/狗/。	三腳貓笑獨眼狗。即五十步笑百步。	【形】三腳貓。形容技藝不精、不中用的人。例：三跤貓笑一目狗。Sann-kha-niau tshiò tsi̍t ba̍k káu. (三腳貓笑獨眼狗。即五十步笑百步。)　											
O	496	形	低路	kē-lōo				勥跤	你/真正/有/夠/低路/，/連/這/款/工課/都/袂曉/做/。	你真的很不中用，連這種工作都不會做。	【形】低能。指不中用。例：你真正有夠低路，連這款工課都袂曉做。Lí tsin-tsiànn ū-kàu kē-lōo, liân tsit khuán khang-khuè to bē-hiáu tsò. (你真的很不中用，連這種工作都不會做。)　											
O	497	名	大路	tuā-lōo					按/這/條/大路/直直/去/就/到/阮/兜/矣/。	從這條大馬路一直走下去就到我家了。	1.【名】寬敞開闊的道路。例：按這條大路直直去就到阮兜矣。Àn tsit tiâu tuā-lōo ti̍t-ti̍t khì tō kàu guán tau--ah. (從這條大馬路一直走下去就到我家了。)　[近]道路、車路[反]小路、巷仔											
O	497	形	大路	tuā-lōo					你/著/較/大路/咧/，/毋通/遐/凍/霜/。	你應該開朗大方一點，不要這麼小家子氣。	2.【形】大方。慷慨豪爽，不吝嗇。例：你著較大路咧，毋通遐凍霜。Lí tio̍h khah tuā-lōo--leh, m̄-thang hiah tàng-sng. (你應該開朗大方一點，不要這麼小家子氣。)　											
O	498	名	小路	sió-lōo			小路仔	大路	這/條/小路/真/歹/行/。	這條小徑很難走。	【名】小徑、小道。較狹窄的路。例：這條小路真歹行。Tsit tiâu sió-lōo tsin pháinn kiânn. (這條小徑很難走。)　											
O	500	名	三頓	sann tǹg			正頓、糜飯		時機/遐/䆀/，/三頓/若/顧/會/齊/勻/就/誠/佳哉/矣/。	景氣這麼差，三餐能溫飽就很慶幸了。	【名】三餐。例：時機遐䆀，三頓若顧會齊勻就誠佳哉矣。Sî-ki hiah bái, sann tǹg nā kòo ē tsiâu-ûn tō tsiânn ka-tsài--ah. (景氣這麼差，三餐能溫飽就很慶幸了。)　											
O	503	名	大壽	tuā-siū					阮/阿公/七/十/歲/大壽/的/時陣/，/阮/兜/有/辦桌/請/人/。	我爺爺七十歲生日的時候，我們家有開席宴客。	1.【名】指重要的生日，多用於五十歲以上逢十的生日。例：阮阿公七十歲大壽的時陣，阮兜有辦桌請人。Guán a-kong tshit-tsa̍p huè tuā-siū ê sî-tsūn, guán tau ū pān-toh tshiánn--lâng. (我爺爺七十歲生日的時候，我們家有開席宴客。)　											
O	503	名	大壽	tuā-siū					你/今仔/五/十/歲/爾爾/，/哪會/未曾未/就/共/大壽/買/好/矣/。	你才五十歲而已，怎麼就將棺木買好備用了。	2.【名】一個人尚未過世前就預先購買好的備用棺木。例：你今仔五十歲爾爾，哪會未曾未就共大壽買好矣。Lí tann-á gōo-tsa̍p huè niā-niā, ná ē buē-tsîng-buē tō kā tuā-siū bé hó--ah. (你才五十歲而已，怎麼就將棺木買好備用了。)　											
X	504	形	大漢	tuā-hàn				細漢	伊/生做/足/大/漢/。	他長得很高大。	1.【形】身材高大。例：伊生做足大漢。I senn-tsò tsiok tuā-hàn. (他長得很高大。)　											
X	504	動	大漢	tuā-hàn				細漢	囡仔/若/大/漢/，/爸母/就/輕鬆/矣/。	兒子如果長大，父母就輕鬆了。	2.【動】長大。例：囡仔若大漢，爸母就輕鬆矣。Gín-á nā tuā-hàn, pē-bú tō khin-sang--ah. (兒子如果長大，父母就輕鬆了。)　											
X	504	形	大漢	tuā-hàn				細漢	伊/是/大/漢/的/。	他排行老大。	3.【形】年長的。排行在先的或較年長的。例：伊是大漢的。I sī tuā-hàn--ê. (他排行老大。)　											
O	505	形	大箍	tuā-khoo					伊/傷/大箍/矣/。	他太胖了。	1.【形】形容人體肥胖。例：伊傷大箍矣。I siunn tuā-khoo--ah. (他太胖了。)　	肥	大箍　tuǎ-khoo, 肥　puî	大箍　tuā-khoo	大箍　tuā-khoo, 肥　puî	大箍　tuā-khoo, 肥　puî	大箍　tuā-khoo, 肥　puî	大箍　tuā-khoo, 肥　puî	大箍　tuā-khoo, 肥　puî	大箍　tuā-khoo, 肥　puî	肥　puî	肥　puî, 大箍　tuā-khoo
O	505	形	大箍	tuā-khoo					彼/箍/柴/真/大箍/。	那根木頭很粗。	2.【形】指圓形物體之粗大。例：彼箍柴真大箍。Hit khoo tshâ tsin tuā-khoo. (那根木頭很粗。)　	肥	大箍　tuǎ-khoo, 肥　puî	大箍　tuā-khoo	大箍　tuā-khoo, 肥　puî	大箍　tuā-khoo, 肥　puî	大箍　tuā-khoo, 肥　puî	大箍　tuā-khoo, 肥　puî	大箍　tuā-khoo, 肥　puî	大箍　tuā-khoo, 肥　puî	肥　puî	肥　puî, 大箍　tuā-khoo
O	505	名	大箍	tuā-khoo					一/箍/是/大箍/抑/細/箍/？	是一萬還是一塊錢？	3.【名】俗稱「萬」(bān)為「大箍」。例：一箍是大箍抑細箍？Tsi̍t khoo sī tuā-khoo ia̍h sè-khoo? (是一萬還是一塊錢？)　	肥	大箍　tuǎ-khoo, 肥　puî	大箍　tuā-khoo	大箍　tuā-khoo, 肥　puî	大箍　tuā-khoo, 肥　puî	大箍　tuā-khoo, 肥　puî	大箍　tuā-khoo, 肥　puî	大箍　tuā-khoo, 肥　puî	大箍　tuā-khoo, 肥　puî	肥　puî	肥　puî, 大箍　tuā-khoo
O	507	副	上緊	siōng kín					這/上緊/嘛/著愛/到/後日/才會/好/。	這最快也要到後天才能完成。	【副】最快。例：這上緊嘛著愛到後日才會好。Tse siōng kín mā tio̍h-ài kàu āu--ji̍t tsiah-ē hó. (這最快也要到後天才能完成。)　											
O	510	副	上蓋	siōng-kài					上蓋/媠/ 	最漂亮	【副】非常、最。例：上蓋媠　siōng-kài suí(最漂亮)、上蓋好　siōng-kài hó(最好)、上蓋𠢕　siōng-kài gâu(最厲害)。											
X	514	名	亡魂	bông-hûn					牽亡/魂/ 	牽引亡魂、通靈。是傳統喪禮的一部分。	【名】死者的靈魂。例：牽亡魂　khan-bông-hûn(牽引亡魂、通靈。是傳統喪禮的一部分。)　											
O	519	名	三層肉	sam-tsân-bah			三層、三層仔、三層仔肉		這過/買/的/三層肉/真/好/食/。	這次買的五花肉真好吃。	【名】五花肉。指肥瘦夾雜的豬肉。例：這過買的三層肉真好食。Tsit-kuè bé--ê sam-tsân-bah tsin hó-tsia̍h. (這次買的五花肉真好吃。)　											
O	521	形	小數	sió-sòo					這/小數/錢/，/毋免/計較/。	這些小額的金錢，不用計較。	1.【形】少數。數額不大。例：這小數錢，毋免計較。Tse sió-sòo tsînn, m̄-bián kè-kàu. (這些小額的金錢，不用計較。)　[近]少數											
O	522	名	干樂	kan-lo̍k	矸轆				囡仔/當咧/拍/干樂/。	小孩子們正在玩陀螺。	1.【名】陀螺。一種玩具，形狀像海螺，用木頭等材料製成。下面尖端有金屬釘，玩時用繩子纏繞，再用力拋出、抽繩使直立旋轉。例：囡仔當咧拍干樂。Gín-á tng teh phah kan-lo̍k. (小孩子們正在玩陀螺。)　	陀螺	干樂　kan-lo̍k	干樂　kan-lo̍k	干樂　kan-lo̍k	干樂　kan-lo̍k	干樂　kan-lo̍k	干樂　kan-lo̍k	干樂　kan-lo̍k	干樂　kan-lo̍k, 柴佛　tshâ-pu̍t	干樂　kan-lo̍k	干樂　kan-lo̍k
X	524	形	大範	tuā-pān	大辨				彼个/查某囡仔/講話/真/大/範/。	那個女孩子講話很大方、自然。	1.【形】一個人的舉止十分大方、自然，不受拘束。例：彼个查某囡仔講話真大範。Hit ê tsa-bóo gín-á kóng-uē tsin tuā-pān. (那個女孩子講話很大方、自然。)　[近]大方[反]閉思											
X	524	形	大範	tuā-pān	大辨				彼/領/洋裝/看/著/真/大/範/。	那件洋裝看起來很高雅，不會俗氣。	2.【形】高雅、不俗氣。例：彼領洋裝看著真大範。Hit niá iûnn-tsong khuànn tio̍h tsin tuā-pān. (那件洋裝看起來很高雅，不會俗氣。)　[近]派頭											
O	527	動	上課	siōng-khò				下課、放學	老師/當咧/課/堂/上課/。	老師正在教室裡面授課。	1.【動】授課、教課。老師教導學生。例：老師當咧課堂上課。Lāu-su tng teh khò-tn̂g siōng-khò. (老師正在教室裡面授課。)　											
O	527	動	上課	siōng-khò				下課、放學	學生/囡仔/逐工/攏/愛/去/學校/上課/。	學生們每天都要去學校讀書。	2.【動】上學、學習。學生到學校讀書或接受老師的教導。例：學生囡仔逐工攏愛去學校上課。Ha̍k-sing gín-á ta̍k kang lóng ài khì ha̍k-hāu siōng-khò. (學生們每天都要去學校讀書。)　											
O	528	名	工課	khang-khuè			頭路、穡、穡頭		我/的/工課/足/濟/的/。	我的工作很多。	【名】工作、事情。例：我的工課足濟的。Guá ê khang-khuè tsiok tsē--ê. (我的工作很多。)　	工作	工課　khang-khèr, 頭路　thâu-lōo, 職業　tsit-gia̍p	頭路　thâu-lōo, 職業　tsit-gia̍p	頭路　thâu-lōo	工課　khang-khuè, 頭路　thâu-lōo, 職業　tsit-gia̍p	工課　khang-khuè, 頭路　thâu-lōo, 穡頭　sit-thâu, 職業　tsit-gia̍p	工課　khang-khuè, 頭路　thâu-lōo, 穡頭　sit-thâu, 職業　tsit-gia̍p	頭路　thâu-lōo, 工課　khang-khèr; khang-khìr	工課　khang-khè	頭路　thâu-lōo, 工課　khang-khìr 	頭路　thâu-lōo, 工課　khang-khuè, 穡頭　sit-thâu 
O	529	名	才調	tsâi-tiāu			才情、本事、本領		伊/真/有/才調/，/律師/牌/一/擺/就/考/過/！	他很有本事，律師牌照一次就考到了！	【名】本事、能力。例：伊真有才調，律師牌一擺就考過！I tsin ū tsâi-tiāu, lu̍t-su pâi tsi̍t pái tō khó--kuè! (他很有本事，律師牌照一次就考到了！)　											
O	530	名	大賣	tuā-bē/tuā-buē			大割、大盤	小賣	阮/遮/干焦/做/大賣/，/無/咧/賣/零星/的/。	我們這裡只有做批發生意，沒有做零售。	【名】批發的生意，指成批買賣商品。例：阮遮干焦做大賣，無咧賣零星的。Guán tsia kan-na tsò tuā-bē, bô teh bē lân-san--ê. (我們這裡只有做批發生意，沒有做零售。)　											
O	531	名	小賣	sió-bē/sió-buē				大賣	小賣/的/價數/一/定/比/大賣/較/貴/。	零售的價格一定比批發貴。	【名】零售商。將貨品零星出售給消費者的商人。相反的，「大賣」(tuā-bē)指的就是批發商。例：小賣的價數一定比大賣較貴。Sió-bē ê kè-siàu it-tīng pí tuā-bē khah kuì. (零售的價格一定比批發貴。)　											
O	532	名	山豬	suann-ti/suann-tu					我/感覺/山豬/仔/肉/較/好/食/。	我覺得野豬肉比較好吃。	【名】山豬、野豬。身體呈圓桶狀，皮黑又厚，長滿粗毛，鼻子長又硬，牙齒尖利，是雜食性動物，性情十分兇暴。例：我感覺山豬仔肉較好食。Guá kám-kak suann-ti-á bah khah hó-tsia̍h. (我覺得野豬肉比較好吃。)　											
O	535	名	下頦	ē-hâi			下顎、喙下斗、下斗、下頷		下頦/尖尖/ 	下巴尖尖的	【名】下巴。臉部嘴脣以下的部位。例：下頦尖尖　ē-hâi tsiam-tsiam(下巴尖尖的)。	下巴	下頦　ě-hâi	下顎　ē-kok	下頦　ē-huâi	下頦　ē-hâi	喙下斗　tshuì-ē-táu	下頦　ē-hâi	下頦　ē-hâi, 下顎　ē-khok	下頦　ē-hâi, 喙斗　tshuì-táu, 下顎　ē-kok	下頦　ē-hâi	下頦　ē-hâi; ē-huâi, 下斗　ē-táu
O	536	名	大學	tāi-ha̍k					大學/畢/業/了後/就/愛/揣頭路/。	大學畢業以後就要找工作做。	【名】國家學制上最高單位，凡具備三學院者稱為大學，不足者則稱為獨立學院。例：大學畢業了後就愛揣頭路。Tāi-ha̍k pit-gia̍p liáu-āu tō ài tshuē thâu-lōo. (大學畢業以後就要找工作做。)　											
X	542	名	山頭	suann-thâu					「/捀斗/上山頭/」/是/大孫/的/任/務/。/"	「捧著裝神主牌的米斗送葬」是長孫的任務。	2.【名】喪葬用語，指墓的位置所在。例：「捀斗上山頭」是大孫的任務。"Phâng-táu tsiūnn suann-thâu" sī tuā-sun ê jīm-bū. (「捧著裝神主牌的米斗送葬」是長孫的任務。)　											
O	543	名	工頭	kang-thâu					阮/的/工頭/看/起來/猶閣/真/少年/。	我們的工頭看起來還很年輕。	1.【名】領班。領導及管理工人的為首者。例：阮的工頭看起來猶閣真少年。Guán ê kang-thâu khuànn--khí-lâi iáu-koh tsin siàu-liân. (我們的工頭看起來還很年輕。)　											
O	543	名	工頭	kang-thâu					工頭/工/尾/攏/愛/顧/好/。	工作的開端和結尾都要照顧好才行。	2.【名】工作的開端起頭。例：工頭工尾攏愛顧好。Kang-thâu-kang-bué lóng ài kòo hōo hó. (工作的開端和結尾都要照顧好才行。)　											
O	545	名	大頭拇	tuā-thâu-bú	大頭母		大拇頭、大拇翁、指頭拇公		伊/的/大頭拇/予/刀仔/割/著/矣/。	他的大拇指被小刀割到了。	【名】大拇指。例：伊的大頭拇予刀仔割著矣。I ê tuā-thâu-bú hōo to-á kuah--tio̍h--ah. (他的大拇指被小刀割到了。)　	大拇指	大捗拇　tuǎ-pǒo-bú	指頭拇公　tsńg-thâu-bú-kong	暫無資料　	大捗翁　tuā-pu-ong	大頭拇　tuā-thâu-bó	指頭拇公　tsíng-thâu-bú-kong	大捗拇　tuā-pōo-bú	指頭拇　tsín-thâu-bó	大頭拇　tuā-thâu-bú	大富翁　tuā-pù-ong
X	551	副	上濟	siōng tsē/siōng tsuē				上少	伊/食/上/濟/。	他吃最多。	1.【副】最多。指數量上的多寡。例：伊食上濟。I tsia̍h siōng tsē. (他吃最多。)　											
X	551	副	上濟	siōng tsē/siōng tsuē				上少	上/濟/錢/了/去/爾爾/。	頂多虧錢而已。	2.【副】至多、頂多。指在最壞的情況下。例：上濟錢了去爾爾。Siōng-tsē tsînn liáu--khì niā-niā. (頂多虧錢而已。)　[近]上加[反]至少											
X	553	形	大聲	tuā-siann			細聲		你/講話/毋/好/遐/大/聲/。	你講話不要那麼大聲。	1.【形】聲音宏大、響亮。例：你講話毋好遐大聲。Lí kóng-uē m̄-hó hiah tuā-siann. (你講話不要那麼大聲。)　											
X	553	動	大聲	tuā-siann			細聲		伊/走/去/共//頭家/大/聲/。	他跑去跟他的老闆理論。	2.【動】理論、咆哮。例：伊走去共頭家大聲。I tsáu-khì kā in thâu-ke tuā-siann. (他跑去跟他的老闆理論。)　[近]大細聲											
X	555	名	大聲話	tuā-siann-uē					伊/足/愛/講大聲話/。	他很喜歡說自以為是的話。	【名】誇大、吹噓的話。例：伊足愛講大聲話。I tsiok ài kóng tuā-siann-uē. (他很喜歡說自以為是的話。)　											
O	556	副	下擺	ē-pái			後擺、後改、後過	頂擺、頂回、頂改	我/下擺/毋敢/矣/！	我下次不敢了！	【副】下次、下回。例：我下擺毋敢矣！Guá ē-pái m̄ kánn--ah! (我下次不敢了！)　											
